wiki_ID,char_words,order
14689013,Michael,10.0
22332305,Michael,0.0
2002320,Michael,5.0
5159254,Michael,6.0
19654225,Michael,0.0
10090870,Michael,3.0
16975721,Michael,12.0
1093364,Michael,0.0
594488,Michael,5.0
594488,Michael,20.0
16676208,Michael,7.0
2405382,Michael,1.0
11176488,Michael,
10091427,Michael,4.0
22562616,Michael,0.0
29026343,Michael,1.0
22156971,Michael,3.0
9339569,Michael,
13118358,Michael,5.0
3210077,Michael,7.0
9029417,Michael,3.0
9422274,Michael,0.0
1250208,Michael,0.0
23576946,Michael,2.0
19460856,Michael,5.0
21944870,Michael,0.0
20631821,Michael,0.0
9673848,Michael,7.0
27491670,Michael,0.0
26609228,Michael,0.0
30431535,Michael,1.0
30431535,Michael,8.0
14631619,Michael,
2567839,Michael,2.0
104916,Michael,9.0
104916,Michael,23.0
31553889,Michael,
30146066,Michael,7.0
5913500,Michael,
21411327,Michael,
12106715,Michael,0.0
12106715,Michael,6.0
5727920,Michael,6.0
32427485,Michael,
18473521,Michael,0.0
1908238,Michael,13.0
5017604,Michael,32.0
26748877,Michael,3.0
2885391,Michael,0.0
18673551,Michael,4.0
21219881,Michael,0.0
22288927,Michael,7.0
67420,Michael,1.0
64394,Michael,24.0
64394,Michael,57.0
451866,Michael,10.0
8001424,Michael,
34047812,Michael,5.0
43566,Michael,4.0
2244052,Michael,0.0
