name,status,group_year,movie_id
alexander,t,1967,35284758
alexander,t,1936,74979
alexander,t,1936,385895
alexander,t,1936,10408933
alexander,t,1959,3992363
alexander,t,1959,1870643
alexander,t,1959,209301
alexander,b,1993,171078
alexander,b,1993,843289
alexander,b,1993,12013209
alexander,b,2009,25854460
alexander,b,2009,17665499
alexander,b,2009,29561419
alexander,i,1971,14754221
alexander,i,2002,2903228
alexander,i,1941,34129784
alexander,i,1989,29030072
alexander,i,1997,2932827
gordon,t,1947,31020658
gordon,t,1947,20769253
gordon,t,1947,15074123
gordon,t,1977,3978441
gordon,t,1977,2581818
gordon,t,1977,2493454
gordon,t,2011,4276475
gordon,t,2011,29075630
gordon,t,2011,16839300
gordon,b,1936,1276889
gordon,b,1936,73471
gordon,b,1936,61480
gordon,i,2005,1571951
gordon,i,2004,1319356
gordon,i,1989,12053509
gordon,i,2009,19583175
gordon,i,1992,552592
vicki,t,1942,10166220
vicki,t,1934,28678250
vicki,t,1989,4726
vicki,t,1989,1640329
vicki,t,1989,20953257
vicki,b,1957,2346581
vicki,b,1957,4415256
vicki,b,1957,5501492
vicki,i,1998,11076438
vicki,i,2002,226664
vicki,i,2010,25542269
vicki,i,2009,15860207
vicki,i,2004,991410
the,i,2001,18176131
the,i,1998,10354785
the,i,1990,1039031
the,i,1992,4751032
the,i,1989,12775343
harvey,t,2011,4276475
harvey,t,2011,3517536
harvey,t,2011,21015620
harvey,b,1937,4015188
harvey,b,1937,24143437
harvey,b,1937,13613357
harvey,i,1989,4726
harvey,i,1995,21132353
harvey,i,1991,39311
harvey,i,1999,222500
harvey,i,1952,74011
vale,i,1989,4726
vale,i,2007,16606034
vale,i,1990,21675573
vale,i,2001,5848001
alfred,t,2004,481605
alfred,t,2004,2809621
alfred,t,2004,564947
alfred,b,1928,172005
alfred,i,2008,12918018
alfred,i,2012,29075630
alfred,i,1989,21412109
alfred,i,1992,4728
alfred,i,1997,1191380
robin,t,1952,723582
robin,t,1952,3370990
robin,t,1952,5557065
robin,t,2003,6542034
robin,t,2003,293165
robin,t,2003,1181107
robin,t,2011,13713239
robin,t,2011,29373289
robin,t,2011,26340083
robin,t,1938,62084
robin,i,1974,19701
robin,i,2007,20889979
